cds7_ID,year,baseline_enroll_ratio,baseline_freelunch,studentachievement,baseline_achievement,minoritycandidate_electoral_result
1964931,2002,0.90719259,NA,NA,NA,0.025239781
1964931,2016,1,0.85915011,NA,NA,-0.028047472
1964964,2006,0.70786881,0.0065573771,NA,NA,-0.067882478
1964964,2012,0.67674279,0.0095619988,-0.1004256,1.3332916,-0.080236137
1964964,2016,0.70200121,0.025015635,NA,1.1995916,-0.31224942
1964980,2005,0.41373628,0.22440912,NA,NA,0.013374209
1964980,2007,0.41934216,0.20396601,NA,NA,0.022383645
1964980,2009,0.42197478,0.2445102,0.025821894,0.25457183,-0.035001308
1964980,2015,0.47794932,0.2526657,NA,0.40649295,0.013410091
1964998,2002,0.22122473,NA,NA,NA,0.040190861
1965029,2002,0.57792377,NA,NA,NA,0.11892311
